index,equity
1224,1003540.39
1225,1005988.02
1226,1003015.84
1227,999553.81
1228,998674.18
1229,1005753.99
1230,1008675.25
1231,1004355.46
1232,1018752.34
1233,1013531.05
1234,1016258.71
1235,1024425.55
1236,1022964.88
1237,1024530.46
1238,1029073.87
1239,1033802.89
1240,1033119.36
1241,1035118.30
1242,1034257.23
1243,1038047.71
1244,1045555.23
1245,1037345.62
1246,1036708.09
1247,1040468.71
1248,1037450.53
1249,1043747.55
1250,1039734.34
1251,1039145.23
1252,1039863.46
1253,1042561.18
1254,1041073.96
1255,1043753.20
1256,1043228.57
1257,1034375.86
1258,1035392.68
1259,1033044.31
1260,1036984.89
1261,1036336.87
1262,1034424.28
1263,1051863.55
1264,1049466.76
1265,1052543.85
1266,1058085.52
1267,1064939.37
1268,1066437.89
1269,1063427.86
1270,1063290.67
1271,1058919.15
1272,1061517.69
1273,1054792.96
1274,1057859.56
1275,1060748.62
1276,1060468.59
1277,1055704.87
1278,1057730.44
1279,1055583.82
1280,1059078.13
1281,1066470.25
1282,1066488.81
1283,1070773.98
1284,1081361.82
1285,1082222.89
1286,1070303.50
1287,1071998.20
1288,1071820.66
1289,1071651.19
1290,1073047.30
1291,1066510.60
1292,1060904.37
1293,1043890.39
1294,1045587.43
1295,1039024.18
1296,1039710.13
1297,1039080.67
1298,1038130.75
1299,1047925.39
1300,1046698.75
1301,1043462.68
1302,1051018.62
1303,1057030.77
1304,1046319.46
1305,1051008.13
1306,1049942.89
1307,1052253.25
1308,1054464.43
1309,1061894.56
1310,1056439.24
1311,1060046.53
1312,1058795.68
1313,1066650.21
1314,1062695.91
1315,1057028.35
1316,1042631.39
1317,1042946.20
1318,1042803.36
1319,1039268.70
1320,1042800.94
1321,1042841.29
1322,1043115.67
1323,1042381.30
1324,1042776.73
1325,1047836.62
1326,1053195.10
1327,1055965.53
1328,1043147.95
1329,1041567.84
1330,1041186.94
1331,1040073.28
1332,1030582.96
1333,1028638.09
1334,1029703.33
1335,1030695.94
1336,1028995.59
1337,1026378.49
1338,1029025.45
1339,1032191.31
1340,1037950.87
1341,1038031.57
1342,1033617.28
1343,1035860.74
1344,1030948.53
1345,1025832.15
1346,1032366.43
1347,1036702.44
1348,1035634.78
1349,1037210.85
1350,1034383.93
1351,1036339.29
1352,1037797.54
1353,1039104.88
1354,1050854.80
1355,1047072.39
1356,1046628.54
1357,1038001.71
1358,1031325.32
1359,1031462.59
1360,1031222.91
1361,1028979.45
1362,1028646.16
1363,1036643.53
1364,1037079.31
1365,1037119.66
1366,1037942.80
1367,1033256.55
1368,1033197.64
1369,1041786.54
1370,1053768.07
1371,1057052.56
1372,1069757.16
1373,1069900.00
1374,1074386.92
1375,1076439.12
1376,1082088.12
1377,1077727.82
1378,1073073.93
1379,1071844.87
1380,1076544.03
1381,1085340.25
1382,1082491.62
1383,1080570.96
1384,1081480.45
1385,1086128.77
1386,1096202.55
1387,1122728.64
1388,1129515.43
1389,1135689.06
1390,1150527.37
1391,1145001.84
1392,1138787.94
1393,1139108.32
1394,1137849.32
1395,1123729.32
1396,1118449.12
1397,1155393.58
1398,1145009.91
1399,1147027.41
1400,1129004.68
1401,1126656.31
1402,1125542.57
1403,1126325.44
1404,1147904.62
1405,1133340.69
1406,1142417.02
1407,1143234.43
1408,1142621.19
1409,1134341.37
1410,1150029.45
1411,1164787.06
1412,1150505.50
1413,1150357.82
1414,1149260.38
1415,1143893.83
1416,1150543.51
1417,1142287.82
1418,1144679.04
1419,1146387.46
1420,1149924.54
1421,1154998.07
1422,1139979.88
1423,1160940.09
1424,1162933.38
1425,1162140.10
1426,1189836.34
1427,1192120.07
1428,1212206.38
1429,1214240.02
1430,1208432.04
1431,1211463.94
1432,1220599.18
1433,1211528.50
1434,1224545.41
1435,1232303.10
1436,1220897.77
1437,1218404.14
1438,1207695.25
1439,1215813.67
1440,1212943.17
1441,1208833.12
1442,1232359.59
1443,1249024.14
1444,1233898.54
1445,1245987.32
1446,1242091.93
1447,1234027.66
1448,1227033.39
1449,1234344.81
1450,1232050.51
1451,1250452.53
1452,1252203.72
1453,1225723.63
1454,1216058.19
1455,1215571.57
1456,1207802.50
1457,1200343.48
1458,1205233.82
1459,1209123.64
1460,1201614.50
1461,1215775.74
1462,1209263.25
1463,1211488.07
1464,1203708.67
1465,1210552.03
1466,1224289.59
1467,1222471.42
1468,1227676.57
1469,1236418.80
1470,1216079.98
1471,1216314.01
1472,1208068.89
1473,1207800.16
1474,1189553.89
1475,1196029.26
1476,1210874.83
1477,1217510.79
1478,1214363.49
1479,1217371.18
1480,1204451.11
1481,1217895.73
1482,1220157.75
1483,1206032.83
1484,1201693.59
1485,1198414.75
1486,1203781.30
1487,1196268.13
1488,1202829.04
1489,1205080.57
1490,1202500.59
1491,1204033.89
1492,1198035.46
1493,1201822.71
1494,1204475.32
1495,1213056.96
1496,1214282.79
1497,1214062.48
1498,1204160.59
1499,1200585.58
1500,1207011.72
1501,1220754.93
1502,1222191.39
1503,1221272.94
1504,1216257.52
1505,1198285.63
1506,1202992.86
1507,1185575.38
1508,1177392.32
1509,1179417.89
1510,1175030.31
1511,1177233.42
1512,1181437.89
1513,1186037.79
1514,1184978.20
1515,1185900.60
1516,1188047.22
1517,1190312.39
1518,1190215.63
1519,1182688.74
1520,1180055.50
1521,1178949.91
1522,1173672.13
1523,1178960.40
1524,1176036.64
1525,1175350.69
1526,1181397.54
1527,1180023.14
1528,1180701.10
1529,1191982.96
1530,1191135.61
1531,1191458.41
1532,1178441.50
1533,1178530.27
1534,1179466.39
1535,1181677.57
1536,1190282.61
1537,1182670.18
1538,1191087.19
1539,1189943.67
1540,1190958.07
1541,1191167.89
1542,1191283.29
1543,1193451.70
1544,1192967.50
1545,1193492.05
1546,1199127.25
1547,1209640.12
1548,1210374.49
1549,1219880.95
1550,1219590.43
1551,1221761.26
1552,1222858.78
1553,1224545.41
1554,1225651.00
1555,1234078.50
1556,1252467.61
1557,1266695.02
1558,1262283.15
1559,1287523.69
1560,1257688.82
1561,1253379.52
1562,1260755.50
1563,1258611.30
1564,1247351.23
1565,1250837.39
1566,1256284.64
1567,1253008.30
1568,1256849.62
1569,1256857.69
1570,1260247.09
1571,1256510.68
1572,1260416.56
1573,1260029.20
1574,1268559.19
1575,1277605.66
1576,1276306.39
1577,1266081.70
1578,1273029.89
1579,1271488.60
1580,1282980.28
1581,1282996.42
1582,1274426.08
1583,1254487.53
1584,1256091.04
1585,1263951.14
1586,1267544.79
1587,1271214.14
1588,1268914.27
1589,1265000.32
1590,1267157.43
1591,1273234.14
1592,1278398.94
1593,1277777.55
1594,1278848.44
1595,1292244.64
1596,1299903.07
1597,1309377.25
1598,1326415.44
1599,1344425.26
1600,1335031.78
1601,1323695.85
1602,1326705.96
1603,1328446.66
1604,1279841.05
1605,1279324.57
1606,1285054.27
1607,1328513.64
1608,1321078.75
1609,1351714.89
1610,1350948.24
1611,1372357.95
1612,1345191.91
1613,1333772.86
1614,1326824.59
1615,1272725.73
1616,1234578.84
1617,1257263.61
1618,1216701.37
1619,1241212.38
1620,1209190.62
1621,1187700.21
1622,1209844.29
1623,1203934.63
1624,1264814.71
1625,1315889.74
1626,1299784.44
1627,1312373.64
1628,1312696.44
1629,1312898.19
1630,1304561.88
1631,1274355.87
1632,1284338.46
1633,1301662.33
1634,1305352.74
1635,1307055.43
1636,1340822.00
1637,1329804.84
1638,1329578.88
1639,1357888.44
1640,1360809.78
1641,1386020.46
1642,1392532.95
1643,1384785.75
1644,1384680.84
1645,1357767.39
1646,1352400.84
1647,1364925.48
1648,1362143.75
1649,1381622.31
1650,1395083.07
1651,1394647.29
1652,1392428.04
1653,1379887.26
1654,1376148.43
1655,1383169.33
1656,1362493.99
1657,1371341.13
1658,1371766.42
1659,1375131.61
1660,1375198.59
1661,1363946.59
1662,1383688.23
1663,1373431.26
1664,1377302.44
1665,1370499.43
1666,1374284.26
1667,1387013.07
1668,1398674.22
1669,1405888.80
1670,1419163.95
1671,1400253.52
1672,1409415.39
1673,1410566.98
1674,1393170.48
1675,1399448.94
1676,1396914.96
1677,1393816.08
1678,1382614.92
1679,1381121.97
1680,1389827.08
1681,1395451.87
1682,1404336.94
1683,1405896.87
1684,1393644.19
1685,1372656.54
1686,1382154.93
1687,1359994.71
1688,1357151.65
1689,1370025.72
1690,1382943.37
1691,1400882.98
1692,1393845.94
1693,1396285.50
1694,1398625.80
1695,1391685.60
1696,1393611.91
1697,1394499.61
1698,1390999.65
1699,1407212.28
1700,1411858.18
1701,1416968.91
1702,1427610.82
1703,1422260.41
1704,1425353.64
1705,1429509.69
1706,1429759.86
1707,1431212.46
1708,1439121.06
1709,1427258.16
1710,1433238.03
1711,1432673.13
1712,1433028.21
1713,1441493.64
1714,1448383.00
1715,1460286.25
1716,1456019.64
1717,1451452.02
1718,1452936.90
1719,1454776.86
1720,1460401.65
1721,1463435.97
1722,1451500.44
1723,1460458.14
